Country,Year,Category,Percentage,Amount_Billions_USD,Total_Budget_Billions_USD
Argentina,1952,Infrastructure,13.09,0.272,2.079
Argentina,1952,Agriculture,7.85,0.163,2.079
Argentina,1952,State_Transfers,10.47,0.218,2.079
Argentina,1952,Social_Welfare,10.47,0.218,2.079
Argentina,1952,Administration_and_Others,10.47,0.218,2.079
Argentina,1953,Defense,5.78,0.126,2.183
Argentina,1953,Education,15.4,0.336,2.183
Argentina,1953,Health,17.82,0.389,2.183
Argentina,1953,Interest_Payments,8.65,0.189,2.183
Argentina,1953,Infrastructure,13.09,0.286,2.183
Argentina,1953,Agriculture,7.85,0.171,2.183
Argentina,1953,State_Transfers,10.47,0.229,2.183
Argentina,1953,Social_Welfare,10.47,0.229,2.183
Argentina,1953,Administration_and_Others,10.47,0.229,2.183
Argentina,1954,Defense,5.78,0.132,2.292
Argentina,1954,Education,15.4,0.353,2.292
Argentina,1954,Health,17.82,0.408,2.292
Argentina,1954,Interest_Payments,8.65,0.198,2.292
Argentina,1954,Infrastructure,13.09,0.3,2.292
Argentina,1954,Agriculture,7.85,0.18,2.292
Argentina,1954,State_Transfers,10.47,0.24,2.292
Argentina,1954,Social_Welfare,10.47,0.24,2.292
Argentina,1954,Administration_and_Others,10.47,0.24,2.292
Argentina,1955,Defense,5.78,0.139,2.407
Argentina,1955,Education,15.4,0.371,2.407
Argentina,1955,Health,17.82,0.429,2.407
Argentina,1955,Interest_Payments,8.65,0.208,2.407
Argentina,1955,Infrastructure,13.09,0.315,2.407
Argentina,1955,Agriculture,7.85,0.189,2.407
Argentina,1955,State_Transfers,10.47,0.252,2.407
Argentina,1955,Social_Welfare,10.47,0.252,2.407
Argentina,1955,Administration_and_Others,10.47,0.252,2.407
Argentina,1956,Defense,5.78,0.146,2.527
Argentina,1956,Education,15.4,0.389,2.527
Argentina,1956,Health,17.82,0.45,2.527
Argentina,1956,Interest_Payments,8.65,0.219,2.527
Argentina,1956,Infrastructure,13.09,0.331,2.527
Argentina,1956,Agriculture,7.85,0.198,2.527
Argentina,1956,State_Transfers,10.47,0.265,2.527
Argentina,1956,Social_Welfare,10.47,0.265,2.527
Argentina,1956,Administration_and_Others,10.47,0.265,2.527
Argentina,1957,Defense,5.78,0.153,2.654
Argentina,1957,Education,15.4,0.409,2.654
Argentina,1957,Health,17.82,0.473,2.654
Argentina,1957,Interest_Payments,8.65,0.23,2.654
Argentina,1957,Infrastructure,13.09,0.347,2.654
Argentina,1957,Agriculture,7.85,0.208,2.654
Argentina,1957,State_Transfers,10.47,0.278,2.654
Argentina,1957,Social_Welfare,10.47,0.278,2.654
Argentina,1957,Administration_and_Others,10.47,0.278,2.654
Argentina,1958,Defense,5.78,0.161,2.786
Argentina,1958,Education,15.4,0.429,2.786
Argentina,1958,Health,17.82,0.497,2.786
Argentina,1958,Interest_Payments,8.65,0.241,2.786
Argentina,1958,Infrastructure,13.09,0.365,2.786
Argentina,1958,Agriculture,7.85,0.219,2.786
Argentina,1958,State_Transfers,10.47,0.292,2.786
Argentina,1958,Social_Welfare,10.47,0.292,2.786
Argentina,1958,Administration_and_Others,10.47,0.292,2.786
Argentina,1959,Defense,5.78,0.169,2.926
Argentina,1959,Education,15.4,0.451,2.926
Argentina,1959,Health,17.82,0.521,2.926
Argentina,1959,Interest_Payments,8.65,0.253,2.926
Argentina,1959,Infrastructure,13.09,0.383,2.926
Argentina,1959,Agriculture,7.85,0.23,2.926
Argentina,1959,State_Transfers,10.47,0.306,2.926
Argentina,1959,Social_Welfare,10.47,0.306,2.926
Argentina,1959,Administration_and_Others,10.47,0.306,2.926
Argentina,1960,Defense,5.78,0.178,3.072
Argentina,1960,Education,15.4,0.473,3.072
Argentina,1960,Health,17.82,0.547,3.072
Argentina,1960,Interest_Payments,8.65,0.266,3.072
Argentina,1960,Infrastructure,13.09,0.402,3.072
Argentina,1960,Agriculture,7.85,0.241,3.072
Argentina,1960,State_Transfers,10.47,0.322,3.072
Argentina,1960,Social_Welfare,10.47,0.322,3.072
Argentina,1960,Administration_and_Others,10.47,0.322,3.072
Argentina,1961,Defense,5.78,0.225,3.898
Argentina,1961,Education,15.4,0.6,3.898
Argentina,1961,Health,17.82,0.695,3.898
Argentina,1961,Interest_Payments,8.65,0.337,3.898
Argentina,1961,Infrastructure,13.09,0.51,3.898
Argentina,1961,Agriculture,7.85,0.306,3.898
Argentina,1961,State_Transfers,10.47,0.408,3.898
Argentina,1961,Social_Welfare,10.47,0.408,3.898
Argentina,1961,Administration_and_Others,10.47,0.408,3.898
Argentina,1962,Defense,5.78,0.205,3.551
Argentina,1962,Education,15.4,0.547,3.551
Argentina,1962,Health,17.82,0.633,3.551
Argentina,1962,Interest_Payments,8.65,0.307,3.551
Argentina,1962,Infrastructure,13.09,0.465,3.551
Argentina,1962,Agriculture,7.85,0.279,3.551
Argentina,1962,State_Transfers,10.47,0.372,3.551
Argentina,1962,Social_Welfare,10.47,0.372,3.551
Argentina,1962,Administration_and_Others,10.47,0.372,3.551
Argentina,1963,Defense,5.78,0.204,3.538
Argentina,1963,Education,15.4,0.545,3.538
Argentina,1963,Health,17.82,0.63,3.538
Argentina,1963,Interest_Payments,8.65,0.306,3.538
Argentina,1963,Infrastructure,13.09,0.463,3.538
Argentina,1963,Agriculture,7.85,0.278,3.538
Argentina,1963,State_Transfers,10.47,0.37,3.538
Argentina,1963,Social_Welfare,10.47,0.37,3.538
Argentina,1963,Administration_and_Others,10.47,0.37,3.538
Argentina,1964,Defense,5.78,0.287,4.958
Argentina,1964,Education,15.4,0.763,4.958
Argentina,1964,Health,17.82,0.883,4.958
Argentina,1964,Interest_Payments,8.65,0.429,4.958
Argentina,1964,Infrastructure,13.09,0.649,4.958
Argentina,1964,Agriculture,7.85,0.389,4.958
Argentina,1964,State_Transfers,10.47,0.519,4.958
Argentina,1964,Social_Welfare,10.47,0.519,4.958
Argentina,1964,Administration_and_Others,10.47,0.519,4.958
Argentina,1965,Defense,5.78,0.317,5.488
Argentina,1965,Education,15.4,0.845,5.488
Argentina,1965,Health,17.82,0.978,5.488
Argentina,1965,Interest_Payments,8.65,0.475,5.488
Argentina,1965,Infrastructure,13.09,0.718,5.488
Argentina,1965,Agriculture,7.85,0.431,5.488
Argentina,1965,State_Transfers,10.47,0.575,5.488
Argentina,1965,Social_Welfare,10.47,0.575,5.488
Argentina,1965,Administration_and_Others,10.47,0.575,5.488
Argentina,1966,Defense,5.78,0.32,5.543
Argentina,1966,Education,15.4,0.854,5.543
Argentina,1966,Health,17.82,0.988,5.543
Argentina,1966,Interest_Payments,8.65,0.48,5.543
Argentina,1966,Infrastructure,13.09,0.726,5.543
Argentina,1966,Agriculture,7.85,0.435,5.543
Argentina,1966,State_Transfers,10.47,0.58,5.543
Argentina,1966,Social_Welfare,10.47,0.58,5.543
Argentina,1966,Administration_and_Others,10.47,0.58,5.543
Argentina,1967,Defense,5.78,0.271,4.697
Argentina,1967,Education,15.4,0.723,4.697
Argentina,1967,Health,17.82,0.837,4.697
Argentina,1967,Interest_Payments,8.65,0.406,4.697
Argentina,1967,Infrastructure,13.09,0.615,4.697
Argentina,1967,Agriculture,7.85,0.369,4.697
Argentina,1967,State_Transfers,10.47,0.492,4.697
Argentina,1967,Social_Welfare,10.47,0.492,4.697
Argentina,1967,Administration_and_Others,10.47,0.492,4.697
Argentina,1968,Defense,5.78,0.296,5.119
Argentina,1968,Education,15.4,0.788,5.119
Argentina,1968,Health,17.82,0.912,5.119
Argentina,1968,Interest_Payments,8.65,0.443,5.119
Argentina,1968,Infrastructure,13.09,0.67,5.119
Argentina,1968,Agriculture,7.85,0.402,5.119
Argentina,1968,State_Transfers,10.47,0.536,5.119
Argentina,1968,Social_Welfare,10.47,0.536,5.119
Argentina,1968,Administration_and_Others,10.47,0.536,5.119
Argentina,1969,Defense,5.78,0.35,6.052
Argentina,1969,Education,15.4,0.932,6.052
Argentina,1969,Health,17.82,1.078,6.052
Argentina,1969,Interest_Payments,8.65,0.523,6.052
Argentina,1969,Infrastructure,13.09,0.792,6.052
Argentina,1969,Agriculture,7.85,0.475,6.052
Argentina,1969,State_Transfers,10.47,0.634,6.052
Argentina,1969,Social_Welfare,10.47,0.634,6.052
Argentina,1969,Administration_and_Others,10.47,0.634,6.052
Argentina,1970,Defense,5.78,0.353,6.115
Argentina,1970,Education,15.4,0.942,6.115
Argentina,1970,Health,17.82,1.09,6.115
Argentina,1970,Interest_Payments,8.65,0.529,6.115
Argentina,1970,Infrastructure,13.09,0.8,6.115
Argentina,1970,Agriculture,7.85,0.48,6.115
Argentina,1970,State_Transfers,10.47,0.64,6.115
Argentina,1970,Social_Welfare,10.47,0.64,6.115
Argentina,1970,Administration_and_Others,10.47,0.64,6.115
Argentina,1971,Defense,5.78,0.373,6.446
Argentina,1971,Education,15.4,0.993,6.446
Argentina,1971,Health,17.82,1.149,6.446
Argentina,1971,Interest_Payments,8.65,0.558,6.446
Argentina,1971,Infrastructure,13.09,0.844,6.446
Argentina,1971,Agriculture,7.85,0.506,6.446
Argentina,1971,State_Transfers,10.47,0.675,6.446
Argentina,1971,Social_Welfare,10.47,0.675,6.446
Argentina,1971,Administration_and_Others,10.47,0.675,6.446
Argentina,1972,Defense,5.78,0.389,6.725
Argentina,1972,Education,15.4,1.036,6.725
Argentina,1972,Health,17.82,1.198,6.725
Argentina,1972,Interest_Payments,8.65,0.582,6.725
Argentina,1972,Infrastructure,13.09,0.88,6.725
Argentina,1972,Agriculture,7.85,0.528,6.725
Argentina,1972,State_Transfers,10.47,0.704,6.725
Argentina,1972,Social_Welfare,10.47,0.704,6.725
Argentina,1972,Administration_and_Others,10.47,0.704,6.725
Argentina,1973,Defense,5.78,0.588,10.174
Argentina,1973,Education,15.4,1.567,10.174
Argentina,1973,Health,17.82,1.813,10.174
Argentina,1973,Interest_Payments,8.65,0.88,10.174
Argentina,1973,Infrastructure,13.09,1.332,10.174
Argentina,1973,Agriculture,7.85,0.799,10.174
Argentina,1973,State_Transfers,10.47,1.065,10.174
Argentina,1973,Social_Welfare,10.47,1.065,10.174
Argentina,1973,Administration_and_Others,10.47,1.065,10.174
Argentina,1974,Defense,5.78,0.811,14.025
Argentina,1974,Education,15.4,2.16,14.025
Argentina,1974,Health,17.82,2.499,14.025
Argentina,1974,Interest_Payments,8.65,1.213,14.025
Argentina,1974,Infrastructure,13.09,1.836,14.025
Argentina,1974,Agriculture,7.85,1.101,14.025
Argentina,1974,State_Transfers,10.47,1.468,14.025
Argentina,1974,Social_Welfare,10.47,1.468,14.025
Argentina,1974,Administration_and_Others,10.47,1.468,14.025
Argentina,1975,Defense,5.78,0.587,10.153
Argentina,1975,Education,15.4,1.564,10.153
Argentina,1975,Health,17.82,1.809,10.153
Argentina,1975,Interest_Payments,8.65,0.878,10.153
Argentina,1975,Infrastructure,13.09,1.329,10.153
Argentina,1975,Agriculture,7.85,0.797,10.153
Argentina,1975,State_Transfers,10.47,1.063,10.153
Argentina,1975,Social_Welfare,10.47,1.063,10.153
Argentina,1975,Administration_and_Others,10.47,1.063,10.153
Argentina,1976,Defense,5.78,0.573,9.907
Argentina,1976,Education,15.4,1.526,9.907
Argentina,1976,Health,17.82,1.766,9.907
Argentina,1976,Interest_Payments,8.65,0.857,9.907
Argentina,1976,Infrastructure,13.09,1.297,9.907
Argentina,1976,Agriculture,7.85,0.778,9.907
Argentina,1976,State_Transfers,10.47,1.037,9.907
Argentina,1976,Social_Welfare,10.47,1.037,9.907
Argentina,1976,Administration_and_Others,10.47,1.037,9.907
Argentina,1977,Defense,5.78,0.635,10.994
Argentina,1977,Education,15.4,1.693,10.994
Argentina,1977,Health,17.82,1.959,10.994
Argentina,1977,Interest_Payments,8.65,0.951,10.994
Argentina,1977,Infrastructure,13.09,1.439,10.994
Argentina,1977,Agriculture,7.85,0.863,10.994
Argentina,1977,State_Transfers,10.47,1.151,10.994
Argentina,1977,Social_Welfare,10.47,1.151,10.994
Argentina,1977,Administration_and_Others,10.47,1.151,10.994
Argentina,1978,Defense,5.78,0.997,17.242
Argentina,1978,Education,15.4,2.655,17.242
Argentina,1978,Health,17.82,3.072,17.242
Argentina,1978,Interest_Payments,8.65,1.491,17.242
Argentina,1978,Infrastructure,13.09,2.257,17.242
Argentina,1978,Agriculture,7.85,1.353,17.242
Argentina,1978,State_Transfers,10.47,1.805,17.242
Argentina,1978,Social_Welfare,10.47,1.805,17.242
Argentina,1978,Administration_and_Others,10.47,1.805,17.242
Argentina,1979,Defense,5.78,0.775,13.409
Argentina,1979,Education,15.4,2.065,13.409
Argentina,1979,Health,17.82,2.389,13.409
Argentina,1979,Interest_Payments,8.65,1.16,13.409
Argentina,1979,Infrastructure,13.09,1.755,13.409
Argentina,1979,Agriculture,7.85,1.053,13.409
Argentina,1979,State_Transfers,10.47,1.404,13.409
Argentina,1979,Social_Welfare,10.47,1.404,13.409
Argentina,1979,Administration_and_Others,10.47,1.404,13.409
Argentina,1980,Defense,5.78,0.861,14.901
Argentina,1980,Education,15.4,2.295,14.901
Argentina,1980,Health,17.82,2.655,14.901
Argentina,1980,Interest_Payments,8.65,1.289,14.901
Argentina,1980,Infrastructure,13.09,1.951,14.901
Argentina,1980,Agriculture,7.85,1.17,14.901
Argentina,1980,State_Transfers,10.47,1.56,14.901
Argentina,1980,Social_Welfare,10.47,1.56,14.901
Argentina,1980,Administration_and_Others,10.47,1.56,14.901
Argentina,1981,Defense,5.78,0.88,15.233
Argentina,1981,Education,15.4,2.346,15.233
Argentina,1981,Health,17.82,2.715,15.233
Argentina,1981,Interest_Payments,8.65,1.318,15.233
Argentina,1981,Infrastructure,13.09,1.994,15.233
Argentina,1981,Agriculture,7.85,1.196,15.233
Argentina,1981,State_Transfers,10.47,1.595,15.233
Argentina,1981,Social_Welfare,10.47,1.595,15.233
Argentina,1981,Administration_and_Others,10.47,1.595,15.233
Argentina,1982,Defense,5.78,0.944,16.324
Argentina,1982,Education,15.4,2.514,16.324
Argentina,1982,Health,17.82,2.909,16.324
Argentina,1982,Interest_Payments,8.65,1.412,16.324
Argentina,1982,Infrastructure,13.09,2.137,16.324
Argentina,1982,Agriculture,7.85,1.281,16.324
Argentina,1982,State_Transfers,10.47,1.709,16.324
Argentina,1982,Social_Welfare,10.47,1.709,16.324
Argentina,1982,Administration_and_Others,10.47,1.709,16.324
Argentina,1983,Defense,5.78,1.164,20.132
Argentina,1983,Education,15.4,3.1,20.132
Argentina,1983,Health,17.82,3.588,20.132
Argentina,1983,Interest_Payments,8.65,1.741,20.132
Argentina,1983,Infrastructure,13.09,2.635,20.132
Argentina,1983,Agriculture,7.85,1.58,20.132
Argentina,1983,State_Transfers,10.47,2.108,20.132
Argentina,1983,Social_Welfare,10.47,2.108,20.132
Argentina,1983,Administration_and_Others,10.47,2.108,20.132
Argentina,1984,Defense,5.78,1.308,22.637
Argentina,1984,Education,15.4,3.486,22.637
Argentina,1984,Health,17.82,4.034,22.637
Argentina,1984,Interest_Payments,8.65,1.958,22.637
Argentina,1984,Infrastructure,13.09,2.963,22.637
Argentina,1984,Agriculture,7.85,1.777,22.637
Argentina,1984,State_Transfers,10.47,2.37,22.637
Argentina,1984,Social_Welfare,10.47,2.37,22.637
Argentina,1984,Administration_and_Others,10.47,2.37,22.637
Argentina,1985,Defense,5.78,0.987,17.068
Argentina,1985,Education,15.4,2.628,17.068
Argentina,1985,Health,17.82,3.041,17.068
Argentina,1985,Interest_Payments,8.65,1.476,17.068
Argentina,1985,Infrastructure,13.09,2.234,17.068
Argentina,1985,Agriculture,7.85,1.34,17.068
Argentina,1985,State_Transfers,10.47,1.787,17.068
Argentina,1985,Social_Welfare,10.47,1.787,17.068
Argentina,1985,Administration_and_Others,10.47,1.787,17.068
Argentina,1986,Defense,5.78,1.185,20.499
Argentina,1986,Education,15.4,3.157,20.499
Argentina,1986,Health,17.82,3.653,20.499
Argentina,1986,Interest_Payments,8.65,1.773,20.499
Argentina,1986,Infrastructure,13.09,2.683,20.499
Argentina,1986,Agriculture,7.85,1.609,20.499
Argentina,1986,State_Transfers,10.47,2.146,20.499
Argentina,1986,Social_Welfare,10.47,2.146,20.499
Argentina,1986,Administration_and_Others,10.47,2.146,20.499
Argentina,1987,Defense,5.78,1.218,21.068
Argentina,1987,Education,15.4,3.244,21.068
Argentina,1987,Health,17.82,3.754,21.068
Argentina,1987,Interest_Payments,8.65,1.822,21.068
Argentina,1987,Infrastructure,13.09,2.758,21.068
Argentina,1987,Agriculture,7.85,1.654,21.068
Argentina,1987,State_Transfers,10.47,2.206,21.068
Argentina,1987,Social_Welfare,10.47,2.206,21.068
Argentina,1987,Administration_and_Others,10.47,2.206,21.068
Argentina,1988,Defense,5.78,1.42,24.568
Argentina,1988,Education,15.4,3.784,24.568
Argentina,1988,Health,17.82,4.378,24.568
Argentina,1988,Interest_Payments,8.65,2.125,24.568
Argentina,1988,Infrastructure,13.09,3.216,24.568
Argentina,1988,Agriculture,7.85,1.929,24.568
Argentina,1988,State_Transfers,10.47,2.572,24.568
Argentina,1988,Social_Welfare,10.47,2.572,24.568
Argentina,1988,Administration_and_Others,10.47,2.572,24.568
Argentina,1989,Defense,5.78,0.858,14.837
Argentina,1989,Education,15.4,2.285,14.837
Argentina,1989,Health,17.82,2.644,14.837
Argentina,1989,Interest_Payments,8.65,1.283,14.837
Argentina,1989,Infrastructure,13.09,1.942,14.837
Argentina,1989,Agriculture,7.85,1.165,14.837
Argentina,1989,State_Transfers,10.47,1.553,14.837
Argentina,1989,Social_Welfare,10.47,1.553,14.837
Argentina,1989,Administration_and_Others,10.47,1.553,14.837
Argentina,1990,Defense,5.78,1.582,27.369
Argentina,1990,Education,15.4,4.215,27.369
Argentina,1990,Health,17.82,4.877,27.369
Argentina,1990,Interest_Payments,8.65,2.367,27.369
Argentina,1990,Infrastructure,13.09,3.583,27.369
Argentina,1990,Agriculture,7.85,2.148,27.369
Argentina,1990,State_Transfers,10.47,2.866,27.369
Argentina,1990,Social_Welfare,10.47,2.866,27.369
Argentina,1990,Administration_and_Others,10.47,2.866,27.369
Argentina,1991,Defense,5.78,2.304,39.865
Argentina,1991,Education,15.4,6.139,39.865
Argentina,1991,Health,17.82,7.104,39.865
Argentina,1991,Interest_Payments,11.05,4.405,39.865
Argentina,1991,Infrastructure,12.49,4.979,39.865
Argentina,1991,Agriculture,7.49,2.986,39.865
Argentina,1991,State_Transfers,9.99,3.982,39.865
Argentina,1991,Social_Welfare,9.99,3.982,39.865
Argentina,1991,Administration_and_Others,9.99,3.982,39.865
Argentina,1992,Defense,5.78,2.926,50.627
Argentina,1992,Education,15.4,7.797,50.627
Argentina,1992,Health,17.82,9.022,50.627
Argentina,1992,Interest_Payments,9.8,4.961,50.627
Argentina,1992,Infrastructure,12.8,6.48,50.627
Argentina,1992,Agriculture,7.68,3.888,50.627
Argentina,1992,State_Transfers,10.24,5.184,50.627
Argentina,1992,Social_Welfare,10.24,5.184,50.627
Argentina,1992,Administration_and_Others,10.24,5.184,50.627
Argentina,1993,Defense,5.78,3.665,63.402
Argentina,1993,Education,15.4,9.764,63.402
Argentina,1993,Health,17.82,11.298,63.402
Argentina,1993,Interest_Payments,7.61,4.825,63.402
Argentina,1993,Infrastructure,13.35,8.464,63.402
Argentina,1993,Agriculture,8.01,5.078,63.402
Argentina,1993,State_Transfers,10.68,6.771,63.402
Argentina,1993,Social_Welfare,10.68,6.771,63.402
Argentina,1993,Administration_and_Others,10.68,6.771,63.402
Argentina,1994,Defense,5.68,4.086,71.933
Argentina,1994,Education,15.4,11.078,71.933
Argentina,1994,Health,17.82,12.818,71.933
Argentina,1994,Interest_Payments,8.32,5.985,71.933
Argentina,1994,Infrastructure,13.19,9.488,71.933
Argentina,1994,Agriculture,7.92,5.697,71.933
Argentina,1994,State_Transfers,10.56,7.596,71.933
Argentina,1994,Social_Welfare,10.56,7.596,71.933
Argentina,1994,Administration_and_Others,10.56,7.596,71.933
Argentina,1995,Defense,5.76,4.323,75.052
Argentina,1995,Education,15.4,11.558,75.052
Argentina,1995,Health,17.82,13.374,75.052
Argentina,1995,Interest_Payments,10.2,7.655,75.052
Argentina,1995,Infrastructure,12.7,9.532,75.052
Argentina,1995,Agriculture,7.62,5.719,75.052
Argentina,1995,State_Transfers,10.16,7.625,75.052
Argentina,1995,Social_Welfare,10.16,7.625,75.052
Argentina,1995,Administration_and_Others,10.16,7.625,75.052
Argentina,1996,Defense,4.89,3.785,77.394
Argentina,1996,Education,15.4,11.919,77.394
Argentina,1996,Health,17.82,13.792,77.394
Argentina,1996,Interest_Payments,11.21,8.676,77.394
Argentina,1996,Infrastructure,12.67,9.806,77.394
Argentina,1996,Agriculture,7.6,5.882,77.394
Argentina,1996,State_Transfers,10.13,7.84,77.394
Argentina,1996,Social_Welfare,10.13,7.84,77.394
Argentina,1996,Administration_and_Others,10.13,7.84,77.394
Argentina,1997,Defense,4.51,3.719,82.452
Argentina,1997,Education,15.62,12.879,82.452
Argentina,1997,Health,17.82,14.693,82.452
Argentina,1997,Interest_Payments,13.04,10.752,82.452
Argentina,1997,Infrastructure,12.25,10.1,82.452
Argentina,1997,Agriculture,7.35,6.06,82.452
Argentina,1997,State_Transfers,9.8,8.08,82.452
Argentina,1997,Social_Welfare,9.8,8.08,82.452
Argentina,1997,Administration_and_Others,9.8,8.08,82.452
Argentina,1998,Defense,4.39,3.716,84.641
Argentina,1998,Education,15.62,13.221,84.641
Argentina,1998,Health,17.82,15.083,84.641
Argentina,1998,Interest_Payments,14.71,12.451,84.641
Argentina,1998,Infrastructure,11.86,10.038,84.641
Argentina,1998,Agriculture,7.12,6.026,84.641
Argentina,1998,State_Transfers,9.49,8.032,84.641
Argentina,1998,Social_Welfare,9.49,8.032,84.641
Argentina,1998,Administration_and_Others,9.49,8.032,84.641
Argentina,1999,Defense,4.29,3.819,89.019
Argentina,1999,Education,15.88,14.136,89.019
Argentina,1999,Health,17.82,15.863,89.019
Argentina,1999,Interest_Payments,17.27,15.374,89.019
Argentina,1999,Infrastructure,11.19,9.961,89.019
Argentina,1999,Agriculture,6.71,5.973,89.019
Argentina,1999,State_Transfers,8.95,7.967,89.019
Argentina,1999,Social_Welfare,8.95,7.967,89.019
Argentina,1999,Administration_and_Others,8.95,7.967,89.019
Argentina,2000,Defense,4.07,3.651,89.708
Argentina,2000,Education,16.23,14.56,89.708
Argentina,2000,Health,17.82,15.986,89.708
Argentina,2000,Interest_Payments,20.1,18.031,89.708
Argentina,2000,Infrastructure,10.45,9.374,89.708
Argentina,2000,Agriculture,6.27,5.625,89.708
Argentina,2000,State_Transfers,8.36,7.5,89.708
Argentina,2000,Social_Welfare,8.36,7.5,89.708
Argentina,2000,Administration_and_Others,8.36,7.5,89.708
Argentina,2001,Defense,4.01,3.433,85.616
Argentina,2001,Education,16.36,14.007,85.616
Argentina,2001,Health,16.94,14.503,85.616
Argentina,2001,Interest_Payments,22.27,19.067,85.616
Argentina,2001,Infrastructure,10.11,8.656,85.616
Argentina,2001,Agriculture,6.06,5.188,85.616
Argentina,2001,State_Transfers,8.09,6.926,85.616
Argentina,2001,Social_Welfare,8.09,6.926,85.616
Argentina,2001,Administration_and_Others,8.09,6.926,85.616
Argentina,2002,Defense,4.47,1.612,36.058
Argentina,2002,Education,16.44,5.928,36.058
Argentina,2002,Health,17.75,6.4,36.058
Argentina,2002,Interest_Payments,34.28,12.361,36.058
Argentina,2002,Infrastructure,6.76,2.438,36.058
Argentina,2002,Agriculture,4.06,1.464,36.058
Argentina,2002,State_Transfers,5.41,1.951,36.058
Argentina,2002,Social_Welfare,5.41,1.951,36.058
Argentina,2002,Administration_and_Others,5.41,1.951,36.058
Argentina,2003,Defense,4.31,2.046,47.46
Argentina,2003,Education,14.35,6.811,47.46
Argentina,2003,Health,17.08,8.106,47.46
Argentina,2003,Interest_Payments,30.01,14.243,47.46
Argentina,2003,Infrastructure,8.56,4.063,47.46
Argentina,2003,Agriculture,5.14,2.439,47.46
Argentina,2003,State_Transfers,6.85,3.251,47.46
Argentina,2003,Social_Welfare,6.85,3.251,47.46
Argentina,2003,Administration_and_Others,6.85,3.251,47.46
Argentina,2004,Defense,3.84,2.001,52.108
Argentina,2004,Education,15.14,7.889,52.108
Argentina,2004,Health,14.93,7.78,52.108
Argentina,2004,Interest_Payments,26.31,13.71,52.108
Argentina,2004,Infrastructure,9.94,5.18,52.108
Argentina,2004,Agriculture,5.97,3.111,52.108
Argentina,2004,State_Transfers,7.96,4.148,52.108
Argentina,2004,Social_Welfare,7.96,4.148,52.108
Argentina,2004,Administration_and_Others,7.96,4.148,52.108
Argentina,2005,Defense,3.47,3.177,91.563
Argentina,2005,Education,15.8,14.467,91.563
