Country,Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD,Total_Budget_Growth_Pct,Total_Budget_Roll5,Social_Spend_Pct,Guns_Butter_Ratio,Era
Argentina,1957,5.78,15.4,17.82,8.65,2.654,13.09,7.85,10.47,10.47,10.47,0.153,0.409,0.473,0.23,0.347,0.208,0.278,0.278,0.278,5.025722200237426,2.4126,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1958,5.78,15.4,17.82,8.65,2.786,13.09,7.85,10.47,10.47,10.47,0.161,0.429,0.497,0.241,0.365,0.219,0.292,0.292,0.292,4.973624717407699,2.5332,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1959,5.78,15.4,17.82,8.65,2.926,13.09,7.85,10.47,10.47,10.47,0.169,0.451,0.521,0.253,0.383,0.23,0.306,0.306,0.306,5.025125628140703,2.66,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1960,5.78,15.4,17.82,8.65,3.072,13.09,7.85,10.47,10.47,10.47,0.178,0.473,0.547,0.266,0.402,0.241,0.322,0.322,0.322,4.989747095010255,2.793,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1961,5.78,15.4,17.82,8.65,3.898,13.09,7.85,10.47,10.47,10.47,0.225,0.6,0.695,0.337,0.51,0.306,0.408,0.408,0.408,26.888020833333325,3.0671999999999997,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1962,5.78,15.4,17.82,8.65,3.551,13.09,7.85,10.47,10.47,10.47,0.205,0.547,0.633,0.307,0.465,0.279,0.372,0.372,0.372,-8.90200102616726,3.2466,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1963,5.78,15.4,17.82,8.65,3.538,13.09,7.85,10.47,10.47,10.47,0.204,0.545,0.63,0.306,0.463,0.278,0.37,0.37,0.37,-0.36609405801183437,3.397,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1964,5.78,15.4,17.82,8.65,4.958,13.09,7.85,10.47,10.47,10.47,0.287,0.763,0.883,0.429,0.649,0.389,0.519,0.519,0.519,40.13566986998305,3.8034,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1965,5.78,15.4,17.82,8.65,5.488,13.09,7.85,10.47,10.47,10.47,0.317,0.845,0.978,0.475,0.718,0.431,0.575,0.575,0.575,10.689794271883834,4.2866,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1966,5.78,15.4,17.82,8.65,5.543,13.09,7.85,10.47,10.47,10.47,0.32,0.854,0.988,0.48,0.726,0.435,0.58,0.58,0.58,1.0021865889212833,4.615600000000001,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1967,5.78,15.4,17.82,8.65,4.697,13.09,7.85,10.47,10.47,10.47,0.271,0.723,0.837,0.406,0.615,0.369,0.492,0.492,0.492,-15.262493234710451,4.8448,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1968,5.78,15.4,17.82,8.65,5.119,13.09,7.85,10.47,10.47,10.47,0.296,0.788,0.912,0.443,0.67,0.402,0.536,0.536,0.536,8.984458164786036,5.161,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1969,5.78,15.4,17.82,8.65,6.052,13.09,7.85,10.47,10.47,10.47,0.35,0.932,1.078,0.523,0.792,0.475,0.634,0.634,0.634,18.226216057823798,5.3798,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1970,5.78,15.4,17.82,8.65,6.115,13.09,7.85,10.47,10.47,10.47,0.353,0.942,1.09,0.529,0.8,0.48,0.64,0.64,0.64,1.0409781890284409,5.5052,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1971,5.78,15.4,17.82,8.65,6.446,13.09,7.85,10.47,10.47,10.47,0.373,0.993,1.149,0.558,0.844,0.506,0.675,0.675,0.675,5.412919051512666,5.6857999999999995,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1972,5.78,15.4,17.82,8.65,6.725,13.09,7.85,10.47,10.47,10.47,0.389,1.036,1.198,0.582,0.88,0.528,0.704,0.704,0.704,4.328265591064229,6.091399999999999,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1973,5.78,15.4,17.82,8.65,10.174,13.09,7.85,10.47,10.47,10.47,0.588,1.567,1.813,0.88,1.332,0.799,1.065,1.065,1.065,51.28624535315984,7.1024,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1974,5.78,15.4,17.82,8.65,14.025,13.09,7.85,10.47,10.47,10.47,0.811,2.16,2.499,1.213,1.836,1.101,1.468,1.468,1.468,37.85138588559074,8.697,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1975,5.78,15.4,17.82,8.65,10.153,13.09,7.85,10.47,10.47,10.47,0.587,1.564,1.809,0.878,1.329,0.797,1.063,1.063,1.063,-27.607843137254896,9.5046,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1976,5.78,15.4,17.82,8.65,9.907,13.09,7.85,10.47,10.47,10.47,0.573,1.526,1.766,0.857,1.297,0.778,1.037,1.037,1.037,-2.4229291834925726,10.1968,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1977,5.78,15.4,17.82,8.65,10.994,13.09,7.85,10.47,10.47,10.47,0.635,1.693,1.959,0.951,1.439,0.863,1.151,1.151,1.151,10.972039971737146,11.0506,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1978,5.78,15.4,17.82,8.65,17.242,13.09,7.85,10.47,10.47,10.47,0.997,2.655,3.072,1.491,2.257,1.353,1.805,1.805,1.805,56.83099872657815,12.464200000000002,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1979,5.78,15.4,17.82,8.65,13.409,13.09,7.85,10.47,10.47,10.47,0.775,2.065,2.389,1.16,1.755,1.053,1.404,1.404,1.404,-22.230599698410856,12.341,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1980,5.78,15.4,17.82,8.65,14.901,13.09,7.85,10.47,10.47,10.47,0.861,2.295,2.655,1.289,1.951,1.17,1.56,1.56,1.56,11.126855097322697,13.290600000000001,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1981,5.78,15.4,17.82,8.65,15.233,13.09,7.85,10.47,10.47,10.47,0.88,2.346,2.715,1.318,1.994,1.196,1.595,1.595,1.595,2.2280383866854603,14.355800000000002,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1982,5.78,15.4,17.82,8.65,16.324,13.09,7.85,10.47,10.47,10.47,0.944,2.514,2.909,1.412,2.137,1.281,1.709,1.709,1.709,7.162082321276175,15.421800000000001,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1983,5.78,15.4,17.82,8.65,20.132,13.09,7.85,10.47,10.47,10.47,1.164,3.1,3.588,1.741,2.635,1.58,2.108,2.108,2.108,23.327615780445974,15.999800000000002,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1984,5.78,15.4,17.82,8.65,22.637,13.09,7.85,10.47,10.47,10.47,1.308,3.486,4.034,1.958,2.963,1.777,2.37,2.37,2.37,12.442877011722619,17.8454,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1985,5.78,15.4,17.82,8.65,17.068,13.09,7.85,10.47,10.47,10.47,0.987,2.628,3.041,1.476,2.234,1.34,1.787,1.787,1.787,-24.601316428855412,18.2788,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1986,5.78,15.4,17.82,8.65,20.499,13.09,7.85,10.47,10.47,10.47,1.185,3.157,3.653,1.773,2.683,1.609,2.146,2.146,2.146,20.101945160534317,19.332,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1987,5.78,15.4,17.82,8.65,21.068,13.09,7.85,10.47,10.47,10.47,1.218,3.244,3.754,1.822,2.758,1.654,2.206,2.206,2.206,2.7757451583004134,20.2808,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1988,5.78,15.4,17.82,8.65,24.568,13.09,7.85,10.47,10.47,10.47,1.42,3.784,4.378,2.125,3.216,1.929,2.572,2.572,2.572,16.61287260299982,21.168,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1989,5.78,15.4,17.82,8.65,14.837,13.09,7.85,10.47,10.47,10.47,0.858,2.285,2.644,1.283,1.942,1.165,1.553,1.553,1.553,-39.608433734939766,19.607999999999997,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1990,5.78,15.4,17.82,8.65,27.369,13.09,7.85,10.47,10.47,10.47,1.582,4.215,4.877,2.367,3.583,2.148,2.866,2.866,2.866,84.46451438970142,21.668200000000002,54.16,0.1067208271787297,Cold War (1946-1991)
Argentina,1991,5.78,15.4,17.82,11.05,39.865,12.49,7.49,9.99,9.99,9.99,2.304,6.139,7.104,4.405,4.979,2.986,3.982,3.982,3.982,45.65749570682161,25.541400000000003,53.2,0.10864661654135338,Cold War (1946-1991)
Argentina,1992,5.78,15.4,17.82,9.8,50.627,12.8,7.68,10.24,10.24,10.24,2.926,7.797,9.022,4.961,6.48,3.888,5.184,5.184,5.184,26.99611187758686,31.453200000000002,53.7,0.10763500931098696,Post-Cold-War (1992-2007)
Argentina,1993,5.78,15.4,17.82,7.61,63.402,13.35,8.01,10.68,10.68,10.68,3.665,9.764,11.298,4.825,8.464,5.078,6.771,6.771,6.771,25.233571019416523,39.22,54.58,0.10589959692194945,Post-Cold-War (1992-2007)
Argentina,1994,5.68,15.4,17.82,8.32,71.933,13.19,7.92,10.56,10.56,10.56,4.086,11.078,12.818,5.985,9.488,5.697,7.596,7.596,7.596,13.455411501214476,50.6392,54.34,0.10452705189547294,Post-Cold-War (1992-2007)
Argentina,1995,5.76,15.4,17.82,10.2,75.052,12.7,7.62,10.16,10.16,10.16,4.323,11.558,13.374,7.655,9.532,5.719,7.625,7.625,7.625,4.3359793140839376,60.1758,53.53999999999999,0.1075831154277176,Post-Cold-War (1992-2007)
Argentina,1996,4.89,15.4,17.82,11.21,77.394,12.67,7.6,10.13,10.13,10.13,3.785,11.919,13.792,8.676,9.806,5.882,7.84,7.84,7.84,3.1205031178382914,67.6816,53.480000000000004,0.09143605086013462,Post-Cold-War (1992-2007)
Argentina,1997,4.51,15.62,17.82,13.04,82.452,12.25,7.35,9.8,9.8,9.8,3.719,12.879,14.693,10.752,10.1,6.06,8.08,8.08,8.08,6.5353903403364555,74.0466,53.03999999999999,0.08503016591251886,Post-Cold-War (1992-2007)
Argentina,1998,4.39,15.62,17.82,14.71,84.641,11.86,7.12,9.49,9.49,9.49,3.716,13.221,15.083,12.451,10.038,6.026,8.032,8.032,8.032,2.6548779896182095,78.29440000000001,52.42,0.08374666157954978,Post-Cold-War (1992-2007)
Argentina,1999,4.29,15.88,17.82,17.27,89.019,11.19,6.71,8.95,8.95,8.95,3.819,14.136,15.863,15.374,9.961,5.973,7.967,7.967,7.967,5.172434163112438,81.7116,51.60000000000001,0.08313953488372092,Post-Cold-War (1992-2007)
Argentina,2000,4.07,16.23,17.82,20.1,89.708,10.45,6.27,8.36,8.36,8.36,3.651,14.56,15.986,18.031,9.374,5.625,7.5,7.5,7.5,0.773992069108842,84.64280000000001,50.769999999999996,0.08016545203860549,Post-Cold-War (1992-2007)
Argentina,2001,4.01,16.36,16.94,22.27,85.616,10.11,6.06,8.09,8.09,8.09,3.433,14.007,14.503,19.067,8.656,5.188,6.926,6.926,6.926,-4.561466089980826,86.28720000000001,49.480000000000004,0.08104284559417946,Post-Cold-War (1992-2007)
Argentina,2002,4.47,16.44,17.75,34.28,36.058,6.76,4.06,5.41,5.41,5.41,1.612,5.928,6.4,12.361,2.438,1.464,1.951,1.951,1.951,-57.88404036628667,77.00840000000001,45.00999999999999,0.09931126416351924,Post-Cold-War (1992-2007)
Argentina,2003,4.31,14.35,17.08,30.01,47.46,8.56,5.14,6.85,6.85,6.85,2.046,6.811,8.106,14.243,4.063,2.439,3.251,3.251,3.251,31.621276831771027,69.5722,45.13,0.0955018834478174,Post-Cold-War (1992-2007)
Argentina,2004,3.84,15.14,14.93,26.31,52.108,9.94,5.97,7.96,7.96,7.96,2.001,7.889,7.78,13.71,5.18,3.111,4.148,4.148,4.148,9.793510324483767,62.19,45.99,0.08349641226353555,Post-Cold-War (1992-2007)
Argentina,2005,3.47,15.8,16.1,7.76,91.563,14.22,8.53,11.37,11.37,11.37,3.177,14.467,14.742,7.105,13.02,7.81,10.411,10.411,10.411,75.71774007829892,62.561,54.64,0.06350658857979502,Post-Cold-War (1992-2007)
Argentina,2006,2.96,15.51,15.19,7.76,107.145,14.64,8.79,11.72,11.72,11.72,3.171,16.618,16.275,8.314,15.686,9.418,12.557,12.557,12.557,17.017791029127483,66.8668,54.14,0.054673069818987806,Post-Cold-War (1992-2007)
Argentina,2007,2.68,15.1,14.37,7.76,132.473,15.02,9.01,12.02,12.02,12.02,3.55,20.003,19.036,10.28,19.897,11.936,15.923,15.923,15.923,23.63899388678894,86.1498,53.50999999999999,0.05008409643057374,Post-Cold-War (1992-2007)
Argentina,2008,2.48,15.75,14.56,7.76,166.579,14.86,8.92,11.89,11.89,11.89,4.131,26.236,24.254,12.927,24.754,14.859,19.806,19.806,19.806,25.7456236365146,109.97359999999999,54.09,0.04584951007579959,Post-GFC (2008-2019)
Argentina,2009,2.57,16.02,16.64,7.76,153.411,14.25,8.55,11.4,11.4,11.4,3.943,24.576,25.528,11.905,21.861,13.117,17.489,17.489,17.489,-7.904958007912166,130.23420000000002,55.459999999999994,0.04633970429138118,Post-GFC (2008-2019)
Argentina,2010,2.44,15.05,16.7,7.76,195.176,14.51,8.71,11.61,11.61,11.61,4.762,29.374,32.594,15.146,28.32,17.0,22.66,22.66,22.66,27.224253801878607,150.9568,54.97,0.04438784791704566,Post-GFC (2008-2019)
Argentina,2011,2.19,15.16,16.39,7.76,244.258,14.63,8.78,11.7,11.7,11.7,5.349,37.029,40.034,18.954,35.735,21.446,28.578,28.578,28.578,25.147559126122076,178.3794,54.95,0.03985441310282074,Post-GFC (2008-2019)
Argentina,2012,2.13,14.52,16.68,7.76,251.548,14.73,8.84,11.78,11.78,11.78,5.358,36.525,41.958,19.52,37.053,22.237,29.632,29.632,29.632,2.9845491242866062,202.1944,54.76,0.03889700511322133,Post-GFC (2008-2019)
Argentina,2013,2.23,14.46,16.74,7.76,254.332,14.7,8.82,11.76,11.76,11.76,5.672,36.776,42.575,19.736,37.387,22.432,29.909,29.909,29.909,1.1067470224370712,219.74499999999998,54.72,0.04075292397660819,Post-GFC (2008-2019)
Argentina,2014,2.26,13.8,16.49,7.76,242.489,14.92,8.95,11.94,11.94,11.94,5.48,33.463,39.986,18.817,36.179,21.703,28.953,28.953,28.953,-4.656511960744226,237.56059999999997,54.169999999999995,0.041720509507107255,Post-GFC (2008-2019)
Argentina,2015,2.06,13.96,16.45,7.37,278.908,15.04,9.02,12.03,12.03,12.03,5.746,38.936,45.88,20.556,41.948,25.158,33.553,33.553,33.553,15.018825596212615,254.30700000000002,54.47,0.03781898292638149,Post-GFC (2008-2019)
Argentina,2016,1.95,13.36,15.84,11.39,273.703,14.37,8.62,11.49,11.49,11.49,5.337,36.567,43.355,31.175,39.331,23.593,31.448,31.448,31.448,-1.8662067778622449,260.196,52.18,0.03737064009198927,Post-GFC (2008-2019)
Argentina,2017,2.06,13.26,16.25,9.42,293.069,14.75,8.85,11.8,11.8,11.8,6.037,38.861,47.624,27.607,43.228,25.937,34.582,34.582,34.582,7.075552697632115,268.5002,53.11,0.03878742233101111,Post-GFC (2008-2019)
Argentina,2018,1.88,12.52,15.69,12.88,223.111,14.26,8.55,11.41,11.41,11.41,4.194,27.934,35.006,28.737,31.816,19.076,25.457,25.457,25.457,-23.870829053908814,262.25600000000003,51.03,0.03684107387811091,Post-GFC (2008-2019)
Argentina,2019,1.84,12.51,16.31,15.8,185.022,13.39,8.03,10.71,10.71,10.71,3.404,23.146,30.177,29.233,24.774,14.857,19.816,19.816,19.816,-17.071771450085382,250.76260000000002,50.24,0.03662420382165605,Post-GFC (2008-2019)
Argentina,2020,1.73,12.42,16.46,7.5,186.912,15.47,9.28,12.38,12.38,12.38,3.234,23.215,30.766,14.018,28.915,17.345,23.14,23.14,23.14,1.021500145928611,232.3634,53.64000000000001,0.032252050708426544,COVID era (2020+)
Argentina,2021,1.67,12.28,16.76,6.52,208.908,15.69,9.42,12.55,12.55,12.55,3.489,25.654,35.013,13.621,32.778,19.679,26.218,26.218,26.218,11.768104776579346,219.40439999999998,54.14,0.030845954931658662,COVID era (2020+)
Argentina,2022,1.82,12.71,15.8,7.76,259.944,15.48,9.29,12.38,12.38,12.38,4.731,33.039,41.071,20.172,40.239,24.149,32.181,32.181,32.181,24.429892584295487,212.77939999999998,53.27,0.03416557161629435,COVID era (2020+)
Argentina,2023,2.0,13.22,16.35,7.29,255.856,15.29,9.17,12.23,12.23,12.23,5.117,33.824,41.832,18.652,39.12,23.462,31.291,31.291,31.291,-1.57264641615118,219.32840000000002,54.03,0.037016472330186935,COVID era (2020+)
Argentina,2024,1.93,13.22,16.35,7.29,251.485,15.3,9.18,12.24,12.24,12.24,4.854,33.246,41.118,18.333,38.477,23.086,30.782,30.782,30.782,-1.7083828403476886,232.621,54.050000000000004,0.03570767807585568,COVID era (2020+)
Argentina,2025,1.93,13.22,16.35,7.29,269.107,15.3,9.18,12.24,12.24,12.24,5.194,35.576,43.999,19.618,41.173,24.704,32.939,32.939,32.939,7.00717736644334,249.06000000000003,54.050000000000004,0.03570767807585568,COVID era (2020+)
Argentina,2026,1.93,13.22,16.35,7.29,278.526,15.3,9.18,12.24,12.24,12.24,5.376,36.821,45.539,20.305,42.614,25.569,34.092,34.092,34.092,3.5000947578472497,262.9836,54.050000000000004,0.03570767807585568,COVID era (2020+)
Australia,1946,7.04,13.25,14.6,5.0,2.468,9.02,6.01,12.02,21.04,12.02,0.174,0.327,0.36,0.123,0.223,0.148,0.297,0.519,0.297,,2.468,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1947,7.04,13.25,14.6,5.0,2.592,9.02,6.01,12.02,21.04,12.02,0.182,0.343,0.378,0.13,0.234,0.156,0.312,0.545,0.312,5.024311183144259,2.5300000000000002,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1948,7.04,13.25,14.6,5.0,2.721,9.02,6.01,12.02,21.04,12.02,0.192,0.361,0.397,0.136,0.245,0.164,0.327,0.573,0.327,4.97685185185186,2.593666666666667,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1949,7.04,13.25,14.6,5.0,2.857,9.02,6.01,12.02,21.04,12.02,0.201,0.379,0.417,0.143,0.258,0.172,0.343,0.601,0.343,4.998162440279308,2.6595,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1950,7.04,13.25,14.6,5.0,3.0,9.02,6.01,12.02,21.04,12.02,0.211,0.398,0.438,0.15,0.271,0.18,0.361,0.631,0.361,5.005250262513128,2.7276,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1951,7.04,13.25,14.6,5.0,3.15,9.02,6.01,12.02,21.04,12.02,0.222,0.417,0.46,0.158,0.284,0.189,0.379,0.663,0.379,5.000000000000004,2.864,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1952,7.04,13.25,14.6,5.0,3.308,9.02,6.01,12.02,21.04,12.02,0.233,0.438,0.483,0.165,0.298,0.199,0.398,0.696,0.398,5.015873015873007,3.0072,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1953,7.04,13.25,14.6,5.0,3.473,9.02,6.01,12.02,21.04,12.02,0.245,0.46,0.507,0.174,0.313,0.209,0.417,0.731,0.417,4.987908101571947,3.1576,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1954,7.04,13.25,14.6,5.0,3.647,9.02,6.01,12.02,21.04,12.02,0.257,0.483,0.532,0.182,0.329,0.219,0.438,0.767,0.438,5.010077742585661,3.3156,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1955,7.04,13.25,14.6,5.0,3.829,9.02,6.01,12.02,21.04,12.02,0.27,0.507,0.559,0.191,0.345,0.23,0.46,0.806,0.46,4.99040307101728,3.4814,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1956,7.04,13.25,14.6,5.0,4.021,9.02,6.01,12.02,21.04,12.02,0.283,0.533,0.587,0.201,0.363,0.242,0.483,0.846,0.483,5.014364063724197,3.6555999999999997,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1957,7.04,13.25,14.6,5.0,4.222,9.02,6.01,12.02,21.04,12.02,0.297,0.559,0.616,0.211,0.381,0.254,0.507,0.888,0.507,4.998756528226833,3.8384,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1958,7.04,13.25,14.6,5.0,4.433,9.02,6.01,12.02,21.04,12.02,0.312,0.587,0.647,0.222,0.4,0.266,0.533,0.933,0.533,4.997631454287044,4.0304,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1959,7.04,13.25,14.6,5.0,4.654,9.02,6.01,12.02,21.04,12.02,0.328,0.617,0.68,0.233,0.42,0.28,0.559,0.979,0.559,4.985337243401755,4.2318,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1960,7.04,13.25,14.6,5.0,4.887,9.02,6.01,12.02,21.04,12.02,0.344,0.648,0.713,0.244,0.441,0.294,0.587,1.028,0.587,5.006446067898573,4.4434,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1961,7.04,13.25,14.6,5.0,5.169,9.02,6.01,12.02,21.04,12.02,0.364,0.685,0.755,0.258,0.466,0.311,0.621,1.088,0.621,5.770411295273181,4.673,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1962,7.04,13.25,14.6,5.0,5.233,9.02,6.01,12.02,21.04,12.02,0.368,0.693,0.764,0.262,0.472,0.314,0.629,1.101,0.629,1.2381505126716874,4.8751999999999995,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1963,7.04,13.25,14.6,5.0,5.657,9.02,6.01,12.02,21.04,12.02,0.398,0.75,0.826,0.283,0.51,0.34,0.68,1.19,0.68,8.102426906172377,5.119999999999999,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1964,7.04,13.25,14.6,5.0,6.251,9.02,6.01,12.02,21.04,12.02,0.44,0.828,0.913,0.313,0.564,0.376,0.751,1.315,0.751,10.500265158211075,5.4394,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1965,7.04,13.25,14.6,5.0,6.822,9.02,6.01,12.02,21.04,12.02,0.48,0.904,0.996,0.341,0.615,0.41,0.82,1.435,0.82,9.134538473844177,5.8264,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1966,7.04,13.25,14.6,5.0,7.172,9.02,6.01,12.02,21.04,12.02,0.505,0.95,1.047,0.359,0.647,0.431,0.862,1.509,0.862,5.130460275578996,6.227,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1967,7.04,13.25,14.6,5.0,7.995,9.02,6.01,12.02,21.04,12.02,0.563,1.059,1.167,0.4,0.721,0.48,0.961,1.682,0.961,11.475181260457346,6.7794,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1968,7.04,13.25,14.6,5.0,8.592,9.02,6.01,12.02,21.04,12.02,0.605,1.138,1.254,0.43,0.775,0.516,1.033,1.808,1.033,7.4671669793621165,7.3664000000000005,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1969,7.04,13.25,14.6,5.0,9.634,9.02,6.01,12.02,21.04,12.02,0.678,1.277,1.407,0.482,0.869,0.579,1.158,2.027,1.158,12.127560521415258,8.043000000000001,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1970,7.04,13.25,14.6,5.0,10.855,9.02,6.01,12.02,21.04,12.02,0.764,1.438,1.585,0.543,0.979,0.652,1.305,2.284,1.305,12.673863400456709,8.849599999999999,60.91,0.11558036447217207,Cold War (1946-1991)
Australia,1971,7.04,13.25,14.6,5.0,11.875,9.02,6.01,12.02,21.04,12.02,0.836,1.573,1.734,0.594,1.071,0.714,1.427,2.499,1.427,9.396591432519564,9.7902,60.91,0.11558036447217207,Cold War (1946-1991)
